,Device ID,Memory
752,7532,16GB
753,7532,32GB
754,7532,8GB
755,7368,16GB
756,7368,8GB
757,7476,16GB
758,7476,8GB
759,7475,128GB
760,7475,256GB
761,7475,64GB
762,7479,16GB
763,7479,32GB
764,7757,16GB
765,7757,32GB
766,7477,16GB
767,7477,32GB
768,7478,16GB
769,7478,8GB
770,7474,16GB
771,7474,8GB
772,7473,16GB
773,7444,8GB
774,7378,32GB
775,7367,16GB
776,7367,32GB
777,7367,64GB
778,7366,16GB
779,7366,32GB
780,7255,16GB
781,7255,8GB
782,7365,16GB
783,7365,8GB
784,7364,16GB
785,7364,8GB
786,7256,16GB
787,7256,8GB
788,7261,16GB
789,7261,32GB
790,7044,16GB
791,7120,16GB
792,6917,128GB
793,6917,16GB
794,6917,32GB
795,6917,64GB
796,7045,16GB
797,7045,8GB
798,6982,8GB
799,6953,16GB
800,6953,8GB
801,6918,128GB
802,6918,16GB
803,6918,32GB
804,6918,64GB
805,6897,16GB
806,6897,8GB
807,6813,
808,6751,16GB
809,6751,32GB
810,6751,8GB
811,6737,8GB
812,6630,16GB
813,6630,32GB
814,6629,16GB
815,6629,32GB
816,6429,16GB
817,6429,32GB
818,6429,8GB
819,6428,8GB
820,6414,16GB
821,6414,32GB
822,6413,16GB
823,6412,16GB
824,6412,8GB
825,6411,16GB
826,6411,8GB
827,6747,16GB
828,6747,8GB
829,6410,16GB
830,6410,8GB
831,6407,16GB
832,6407,32GB
833,6409,16GB
834,6409,8GB
835,6394,4GB
836,6394,8GB
837,6519,16GB
838,6238,16GB
839,6120,16GB
840,6120,32GB
841,5993,
842,6853,16GB
843,6853,32GB
844,5953,16GB
845,5953,32GB
846,7160,8GB
847,5952,16GB
848,5952,32GB
849,5952,8GB
850,5951,
851,7158,
852,5982,
853,5891,16GB
854,5863,16GB
855,5863,32GB
856,5863,64GB
857,5706,16GB
858,5706,32GB
859,5676,16GB
860,5676,8GB
861,5675,16GB
862,5674,16GB
863,5674,32GB
864,5674,8GB
865,5600,16GB
866,5600,32GB
867,5494,16GB
868,5494,32GB
869,5493,32GB
870,5493,64GB
871,5495,16GB
872,5495,32GB
873,5879,8GB
874,5492,16GB
875,5329,16GB
876,5329,8GB
877,5328,32GB
878,5328,64GB
879,5331,16GB
880,5249,16GB
881,5249,8GB
882,5091,16GB
883,5091,32GB
884,5083,32GB
885,5083,64GB
886,5017,16GB
887,5017,32GB
888,5017,64GB
889,4850,16GB
890,4850,32GB
891,4850,8GB
892,4605,32GB
893,4605,64GB
894,4604,32GB
895,4604,64GB
896,5337,16GB
897,5337,32GB
898,4596,16GB
899,4596,32GB
900,4606,32GB
901,4606,64GB
902,4422,16GB
903,4422,32GB
904,4421,32GB
905,4421,64GB
906,4322,32GB
907,4322,64GB
908,3965,16GB
909,3965,32GB
910,3965,64GB
911,3936,16GB
912,3936,32GB
913,3696,
914,12603,256GB
915,12460,128GB
916,12459,128GB
917,12458,128GB
918,12457,64GB
919,12456,16GB
920,12153,128GB
921,12110,128GB
922,12102,64GB
923,11830,32GB
924,11829,32GB
925,11828,32GB
926,11757,256GB
927,11716,32GB
928,11715,128GB
929,11673,32GB
930,11672,32GB
931,11643,128GB
932,11623,32GB
933,11536,64GB
934,11509,32GB
935,11483,128GB
936,11398,128GB
937,11376,128GB
938,11369,128GB
939,11369,64GB
940,11368,32GB
941,11348,32GB
942,11319,16GB
943,11318,32GB
944,11273,16GB
945,11273,32GB
946,11264,128GB
947,11258,32GB
948,11096,32GB
949,11095,32GB
950,11094,16GB
951,11073,128GB
952,10973,32GB
953,10934,64GB
954,10935,32GB
955,10915,32GB
956,10781,128GB
957,10745,64GB
958,10741,32GB
959,10730,64GB
960,10729,32GB
961,10731,16GB
962,10732,32GB
963,10640,32GB
964,10607,32GB
965,10535,32GB
966,10536,32GB
967,10537,32GB
