,Device ID,Body Dims(mm),Body Hight(mm),Body Width(mm),Body Depth(mm),Body Dims(inch),Body Hight(inch),Body Width(inch),Body Depth(inch),Body Weight(g),Body Weight(oz)
779,7706,143 x 72 x 8.9,143.0,72.0,8.9,5.63 x 2.83 x 0.35,5.63,2.83,0.35,149.0,5.26
780,7705,145.2 x 73.2 x 9.1,145.2,73.2,9.1,5.72 x 2.88 x 0.36,5.72,2.88,0.36,157.0,5.54
781,7676,142.5 x 71 x 9.3,142.5,71.0,9.3,5.61 x 2.80 x 0.37,5.61,2.8,0.37,148.0,5.22
782,7671,144 x 71.2 x 10.1,144.0,71.2,10.1,5.67 x 2.80 x 0.40,5.67,2.8,0.4,176.0,6.21
783,7645,158.8 x 77.7 x 10.2,158.8,77.7,10.2,6.25 x 3.06 x 0.40,6.25,3.06,0.4,190.0,6.7
784,7623,142 x 70 x 8.9,142.0,70.0,8.9,5.59 x 2.76 x 0.35,5.59,2.76,0.35,154.0,5.43
785,7558,164 x 82.2 x 9.3,164.0,82.2,9.3,6.46 x 3.24 x 0.37,6.46,3.24,0.37,207.0,7.3
786,7559,141.9 x 68.1 x 5.1,141.9,68.1,5.1,5.59 x 2.68 x 0.20,5.59,2.68,0.2,98.0,3.46
787,7523,165.5 x 85.3 x 8.5,165.5,85.3,8.5,6.52 x 3.36 x 0.33,6.52,3.36,0.33,177.0,6.24
788,7499,140.7 x 70.2 x 9.3,140.7,70.2,9.3,5.54 x 2.76 x 0.37,5.54,2.76,0.37,149.0,5.26
789,7498,197.2 x 107 x 8.9,197.2,107.0,8.9,7.76 x 4.21 x 0.35,7.76,4.21,0.35,298.0,10.51
790,7490,194 x 107 x 9.3,194.0,107.0,9.3,7.64 x 4.21 x 0.37,7.64,4.21,0.37,248.0,8.75
791,7489,143 x 71 x 8.5,143.0,71.0,8.5,5.63 x 2.80 x 0.33,5.63,2.8,0.33,126.0,4.44
792,7450,141 x 68.4 x 7.8,141.0,68.4,7.8,5.55 x 2.69 x 0.31,5.55,2.69,0.31,111.0,3.92
793,7449,150.5 x 76.5 x 8,150.5,76.5,8.0,5.93 x 3.01 x 0.31,5.93,3.01,0.31,169.0,5.96
794,7448,143 x 71.8 x 9,143.0,71.8,9.0,5.63 x 2.83 x 0.35,5.63,2.83,0.35,157.0,5.54
795,7447,143 x 71.8 x 9,143.0,71.8,9.0,5.63 x 2.83 x 0.35,5.63,2.83,0.35,157.0,5.54
796,7293,155 x 74.8 x 7.7,155.0,74.8,7.7,6.10 x 2.94 x 0.30,6.1,2.94,0.3,149.0,5.26
797,7291,155 x 79 x 9.9,155.0,79.0,9.9,6.10 x 3.11 x 0.39,6.1,3.11,0.39,178.0,6.28
798,7290,144 x 72.4 x 9.4,144.0,72.4,9.4,5.67 x 2.85 x 0.37,5.67,2.85,0.37,172.0,6.07
799,7265,128 x 66 x 11,128.0,66.0,11.0,5.04 x 2.60 x 0.43,5.04,2.6,0.43,121.0,4.27
800,7225,146 x 66.3 x 9.6,146.0,66.3,9.6,5.75 x 2.61 x 0.38,5.75,2.61,0.38,136.0,4.8
801,7205,145 x 72 x 8.2,145.0,72.0,8.2,5.71 x 2.83 x 0.32,5.71,2.83,0.32,146.0,5.15
802,7204,133 x 67.5 x 9.5,133.0,67.5,9.5,5.24 x 2.66 x 0.37,5.24,2.66,0.37,138.0,4.87
803,6930,143.5 x 72.1 x 7.5,143.5,72.1,7.5,5.65 x 2.84 x 0.30,5.65,2.84,0.3,120.0,4.23
804,6929,156 x 78 x 8.3,156.0,78.0,8.3,6.14 x 3.07 x 0.33,6.14,3.07,0.33,151.0,5.33
805,6928,144.5 x 71.5 x 10.4,144.5,71.5,10.4,5.69 x 2.81 x 0.41,5.69,2.81,0.41,180.0,6.35
806,6927,143 x 73.2 x 9.9,143.0,73.2,9.9,5.63 x 2.88 x 0.39,5.63,2.88,0.39,156.0,5.5
807,6926,155.5 x 76.6 x 10.6,155.5,76.6,10.6,6.12 x 3.02 x 0.42,6.12,3.02,0.42,170.0,6.0
808,6925,144 x 72 x 10.5,144.0,72.0,10.5,5.67 x 2.83 x 0.41,5.67,2.83,0.41,154.0,5.43
809,6924,139.8 x 67.4 x 5.1,139.8,67.4,5.1,5.50 x 2.65 x 0.20,5.5,2.65,0.2,97.0,3.42
810,6900,163.5 x 81.4 x 9.2,163.5,81.4,9.2,6.44 x 3.20 x 0.36,6.44,3.2,0.36,177.0,6.24
811,6899,145.7 x 72 x 9,145.7,72.0,9.0,5.74 x 2.83 x 0.35,5.74,2.83,0.35,164.0,5.78
812,6839,137.1 x 67.4 x 10,137.1,67.4,10.0,5.40 x 2.65 x 0.39,5.4,2.65,0.39,145.0,5.11
813,6838,187.5 x 103 x 9.4,187.5,103.0,9.4,7.38 x 4.06 x 0.37,7.38,4.06,0.37,299.0,10.55
814,6837,134.6 x 67 x 10.8,134.6,67.0,10.8,5.30 x 2.64 x 0.43,5.3,2.64,0.43,157.0,5.54
815,6836,200 x 135.2 x 8.5,200.0,135.2,8.5,7.87 x 5.32 x 0.33,7.87,5.32,0.33,350.0,12.35
816,6835,127 x 64.4 x 9.4,127.0,64.4,9.4,5.0 x 2.54 x 0.37,5.0,2.54,0.37,106.0,3.74
817,6834,125 x 63.8 x 12.5,125.0,63.8,12.5,4.92 x 2.51 x 0.49,4.92,2.51,0.49,121.0,4.27
818,6833,125 x 63.8 x 12.5,125.0,63.8,12.5,4.92 x 2.51 x 0.49,4.92,2.51,0.49,121.0,4.27
819,6670,125 x 64 x 10.6,125.0,64.0,10.6,4.92 x 2.52 x 0.42,4.92,2.52,0.42,125.0,4.41
820,6669,144.8 x 69.9 x 7.8,144.8,69.9,7.8,5.70 x 2.75 x 0.31,5.7,2.75,0.31,139.0,4.9
821,6565,146 x 74 x 9.3,146.0,74.0,9.3,5.75 x 2.91 x 0.37,5.75,2.91,0.37,166.0,5.86
