,Device ID,RAM
728,10047,2GB
729,10046,2GB
730,10045,3GB
731,9994,2GB
732,9968,1GB
733,9967,1GB
734,9930,1GB
735,9929,512MB
736,9855,4GB
737,9877,2GB
738,9854,3GB
739,9853,3GB
740,9811,4GB
741,9876,2GB
742,9778,3GB
743,9777,3GB
744,9776,2GB
745,9775,2GB
746,9718,4GB
747,9597,1GB
748,9565,1GB
749,9542,1GB
750,9518,2GB
751,9482,1GB
752,9470,3GB
753,9360,1GB
754,9359,1GB
755,9325,512MB
756,9314,3GB
757,9307,4GB
758,9307,6GB
759,9302,1GB
760,9301,512MB
761,9277,1GB
762,9254,1GB
763,9253,1GB
764,9223,3GB
765,9184,1GB
766,9165,3GB
767,9154,2GB
768,9146,512MB
769,9132,4MB
770,9131,3GB
771,9072,4GB
772,9064,2GB
773,9063,2GB
774,9007,1GB
775,8965,1GB
776,8964,1GB
777,8952,1GB
778,8946,3GB
779,8945,3GB
780,8924,1GB
781,8925,1GB
782,8926,1GB
783,8906,1GB
784,8905,512MB
785,8865,2GB
786,8846,1GB
787,8846,2GB
788,8845,1GB
789,8842,1GB
790,8841,512MB
791,8835,4GB
792,8824,1GB
793,8825,1GB
794,8825,2GB
795,8826,1GB
796,8796,512MB
797,8773,2GB
798,8773,3GB
799,8774,1GB
800,8736,2GB
801,8735,512MB
802,8732,1GB
803,8731,1GB
804,8713,512MB
805,8709,1GB
806,8670,2GB
807,8670,3GB
808,8653,1GB
809,8621,4GB
810,8555,512MB
811,8553,512MB
812,8544,3GB
813,8541,512MB
814,8557,1GB
815,8556,1GB
816,8534,512MB
817,8533,1GB
818,8527,1GB
819,8524,1GB
820,8525,512MB
821,8526,24MB
822,8496,1GB
823,8462,2GB
824,8461,1GB
825,8460,2GB
826,8459,512MB
827,8457,1GB
828,8456,512MB
829,8426,4GB
830,8427,2GB
831,8428,1GB
832,8429,1GB
833,8349,2GB
834,8349,4GB
835,8338,3GB
836,8296,4GB
837,8322,1GB
838,8323,512MB
839,8324,1GB
840,8256,1GB
841,8255,1GB
842,8252,1GB
843,8251,512MB
844,8253,1GB
845,8254,1GB
846,8171,1GB
847,8171,2GB
848,8188,1GB
849,8189,512MB
850,8190,512MB
851,8191,512MB
852,8187,3GB
853,8153,1GB
854,8152,1GB
855,8151,512MB
856,8118,1GB
857,8117,1GB
858,8116,512MB
859,8119,512MB
860,8115,256MB
861,8030,512MB
862,8029,1GB
863,8028,512MB
864,8003,1GB
865,7990,2GB
866,7988,2GB
867,7989,2GB
868,7987,1GB
869,7986,1GB
870,7978,1GB
871,7978,2GB
872,7974,1GB
873,7924,1GB
874,7923,1GB
875,7922,1GB
876,7892,1GB
877,7867,1GB
878,7858,2GB
879,7857,3GB
880,7820,2GB
881,7775,1GB
882,7774,1GB
883,7726,1GB
884,7725,512MB
885,7706,1GB
886,7705,768MB
887,7676,1GB
888,7671,1.5GB
889,7645,1GB
890,7623,1GB
891,7558,3GB
892,7559,2GB
893,7523,1GB
894,7499,1GB
895,7498,512MB
896,7490,1GB
897,7489,1GB
898,7450,1GB
899,7449,1GB
900,7448,1GB
901,7447,1GB
902,7293,1GB
903,7291,512MB
904,7290,1GB
905,7265,512MB
906,7225,2GB
907,7205,1GB
908,7204,512MB
909,6930,1GB
910,6930,2GB
911,6929,1GB
912,6928,1GB
913,6927,512MB
914,6926,1GB
915,6925,1GB
916,6924,1GB
917,6900,2GB
918,6899,1GB
919,6839,1GB
920,6838,1GB
921,6837,512MB
922,6836,1GB
923,6835,512MB
924,6834,256MB
925,6833,512MB
926,6670,512MB
927,6669,1GB
928,6565,1GB
929,6566,512MB
930,6567,512MB
931,6568,512MB
932,6406,2GB
933,6405,1GB
934,6346,2GB
935,6346,3GB
936,6339,1GB
937,6330,1GB
938,6277,512MB
939,6276,256MB
940,6244,1GB
941,6243,512MB
942,6242,1GB
943,6041,1GB
944,5986,1GB
945,5957,1GB
946,5956,1GB
947,5955,2GB
948,5954,1GB
949,5935,1GB
950,5920,2GB
951,5909,512MB
952,5908,512MB
953,5873,1GB
954,5761,1GB
955,5748,64MB
956,5747,32MB
957,5746,24MB
958,5745,24MB
959,5661,512MB
960,5660,512MB
961,5662,256MB
962,5593,512MB
963,5489,512MB
964,5458,1GB
965,5459,1GB
966,5460,512MB
967,5411,256MB
968,5410,64MB
969,5409,32MB
970,5408,64MB
971,5360,1GB
972,5358,1GB
973,5359,1GB
974,5295,512MB
975,5294,512MB
976,5283,1GB
977,5282,1GB
978,5281,1GB
979,5210,64MB
980,5209,512MB
981,5208,256MB
982,5207,64MB
983,5206,1GB
984,5205,1GB
985,5202,512MB
986,5201,512MB
987,5023,256MB
988,4947,512MB
989,4946,256MB
990,4945,32MB
991,4944,32MB
992,4901,512MB
993,4853,32MB
994,4852,32MB
995,4370,512MB
996,4224,512MB
997,4195,256MB
998,4162,256MB
999,4163,64MB
1000,4165,256MB
1001,4166,256MB
1002,4167,64MB
1003,4168,32MB
1004,4169,64MB
1005,4171,64MB
1006,4170,32MB
1007,4172,32MB
1008,4173,32MB
1009,4174,64MB
1010,4175,32MB
1011,4176,32MB
1012,4177,64MB
1013,4178,32MB
1014,3854,256MB
1015,3855,256MB
1016,3856,
1017,3857,
1018,3858,
1019,3859,
1020,3548,256MB
1021,3549,128MB
1022,3550,
1023,3551,
1024,3552,
1025,3553,
1026,3567,
1027,3568,
1028,3569,
1029,3560,
1030,3561,
1031,3562,
1032,3563,
1033,3564,
1034,3565,
1035,3572,
1036,3570,
1037,3571,
1038,3573,
1039,3574,
1040,3575,
1041,12454,2GB
1042,12427,8GB
1043,12269,12GB
1044,12269,8GB
1045,12522,4GB
1046,12523,4GB
1047,12524,8GB
1048,12525,8GB
1049,12232,8GB
1050,12221,3GB
1051,12221,4GB
1052,11948,2GB
1053,11642,8GB
1054,11266,4GB
1055,10790,4GB
1056,10681,8GB
1057,10529,6GB
1058,10594,2GB
1059,10357,4GB
1060,10593,3GB
1061,10592,3GB
1062,10595,2GB
1063,10298,6GB
1064,10298,8GB
1065,10297,6GB
1066,9965,3GB
1067,9924,4GB
1068,9797,3GB
1069,9797,4GB
1070,9735,6GB
1071,9734,4GB
1072,9734,6GB
1073,9487,3GB
1074,9487,4GB
1075,9385,6GB
1076,9179,4GB
1077,9179,6GB
1078,9119,6GB
1079,9102,3GB
1080,9071,2GB
1081,9071,3GB
1082,8990,4GB
1083,8908,4GB
1084,8908,6GB
1085,8885,3GB
1086,8885,4GB
1087,8630,4GB
1088,8630,6GB
1089,8487,3GB
1090,8519,4GB
1091,8518,3GB
1092,8518,4GB
1093,8404,3GB
1094,8444,2GB
1095,8277,4GB
1096,8884,3GB
1097,8297,2GB
1098,8297,3GB
1099,8276,3GB
1100,8633,3GB
1101,8128,3GB
1102,8086,2GB
1103,8066,3GB
1104,8072,2GB
1105,8031,3GB
1106,7884,4GB
1107,7942,2GB
