,Device ID,Name,Version
1993,9544,Android,8.1
1994,9309,Android,7.1.2
1995,9305,Android,8.1
1996,9304,Android,8.1
1997,9285,Android,8.1
1998,9278,Android,7.1.2
1999,9251,Android,8.1
2000,9228,Android,8.1
2001,9191,Android,8.0
2002,9206,Android,8.1
2003,9115,Android,8.0
2004,9090,Android,8.0
2005,9122,Android,7.1.2
2006,10072,Android,8.1
2007,9190,Android,7.1
2008,9074,Android,7.1.2
2009,9073,Android,7.1.2
2010,9047,Android,7.1.2
2011,9006,Android,7.0
2012,8712,Android,7.1.2
2013,8781,Android,7.0
2014,8756,Android,7.1.1
2015,8780,Android,7.0
2016,8696,Android,7.0
2017,8466,Android,7.0
2018,8584,Android,7.0
2019,8552,Android,2.1
2020,8551,Android,2.1
2021,8694,Android,7.0
2022,8492,Android,7.0
2023,8679,Android,7.0
2024,8678,Android,7.0
2025,8491,Android,7.0
2026,8490,Android,7.0
2027,8817,Android,6.0.1
2028,8489,Android,6.0.1
2029,8488,Android,6.0.1
2030,8484,Android,6.0.1
2031,8403,Android,6.0
2032,8238,Android,7.0
2033,8184,Android,6.0
2034,8183,Android,6.0
2035,8159,Android,6.0.1
2036,8158,Android,6.0.1
2037,8463,Android,6.0.1
2038,8081,Android,6.0.1
2039,8133,Android,6.0.1
2040,8132,Android,6.0.1
2041,8079,Android,6.0
2042,8085,Android,6.0
2043,7980,Android,5.1.1
2044,8269,Android,6.0
2045,8056,Android,6.0.1
2046,7815,Android,6.0.1
2047,7977,Android,6.0
2048,7976,Android,6.0
2049,7927,Android,6.0
2050,7926,Android,6.0
2051,7849,Android,5.1.1
2052,7848,Android,5.1
2053,7883,Android,5.1.1
2054,7828,Android,5.1.1
2055,7773,Android,5.1
2056,7675,Android,5.1
2057,7681,Android,2.1
2058,7680,Android,2.1
2059,7607,Android,2.1
2060,7606,Android,5.1.1
2061,7556,Android,6.0
2062,7575,Android,5.1.1
2063,7515,Android,5.1.1
2064,7496,Android,5.0.2
2065,7451,Android,5.1.1
2066,7442,Android,5.1
2067,7437,Android,5.1.1
2068,7363,Android,5.1.1
2069,7345,,
2070,7344,,
2071,7250,Android,5.0.2
2072,7253,Android,5.1.1
2073,6901,,
2074,7245,Android,5.0
2075,7212,Android,5.0
2076,7148,Android,4.4.2
2077,7070,,
2078,7718,Android,
2079,7051,Android,5.0.1
2080,7052,Android,5.0.1
2081,7053,Android,5.0.1
2082,7054,Android,4.4
2083,6916,Android,5.0.1
2084,6812,Android,4.4.2
2085,6775,Android,4.4.2
2086,6776,Android,4.4.2
2087,6764,Android,4.4.2
2088,6750,Android,4.4.4
2089,6709,Android,4.4.2
2090,6606,Android,4.4.2
2091,6415,Android,4.4.2
2092,6555,Android,4.4.2
2093,6593,Android,4.4.2
2094,6592,Android,4.4.2
2095,6575,Android,4.4.2
2096,6569,Android,4.4.2
2097,6562,Android,4.4.2
2098,6554,Android,4.4.2
2099,6546,Android,4.4.2
2100,6547,Android,4.4.2
2101,6548,Android,4.4.2
2102,6545,Android,4.4.2
2103,6520,Android,4.4.2
2104,6509,Android,4.4.2
2105,6475,Android,4.4.2
2106,6315,Android,4.4.2
2107,6572,Android,4.4.2
2108,6294,Android,4.4.2
2109,7133,,
2110,6366,Android,
2111,6357,Android,4.4.2
2112,7289,Android,5.0.2
2113,6354,Android,4.4.2
2114,6353,Android,4.4.2
2115,6352,Android,4.4.2
2116,7038,Android,4.4.2
2117,6333,Android,4.4.2
2118,6326,Android,4.4.2
2119,6307,Android,4.4.2
2120,6173,Android,4.2.2
2121,6133,Android,4.4.2
2122,6118,Android,4.4.2
2123,6117,Android,4.4.2
2124,6077,Android,4.4.2
2125,6171,Android,4.4.2
2126,6100,Android,4.4.2
2127,6285,Android,4.4.2
2128,6101,Android,4.4.2
2129,7062,Android,4.4.2
2130,6286,Android,4.4.2
2131,6102,Android,4.4.2
2132,6052,Android,4.4.2
2133,6385,Android,4.1.2
2134,6032,Android,4.1.2
2135,5998,Android,4.1.2
2136,5901,Android,4.3
2137,5705,Android,4.4
2138,5806,Android,4.2.2
2139,5798,Firefox,1.1
2140,5772,Android,4.1.2
2141,5736,Android,4.1.2
2142,5750,Android,4.1.2
2143,5723,,
2144,5673,Android,4.2.2
2145,5543,Android,4.2.2
2146,5650,Android,4.1.2
2147,5649,Android,4.1.2
2148,5602,Android,4.1.2
2149,5488,Android,4.1.2
2150,5487,Android,4.1.2
2151,5554,Android,2.3.6
2152,5509,Android,4.1.2
2153,5390,Android,4.1.2
2154,5315,Android,4.1.2
2155,5722,Android,4.1.2
2156,5316,Android,4.1.2
2157,5254,Android,4.1.2
2158,5372,Android,4.1.2
2159,5275,Android,4.1.2
2160,5373,Android,4.1.2
2161,5293,Android,4.1.2
2162,5389,Android,4.1.2
2163,5292,Android,4.1.2
2164,5608,Android,4.1.2
2165,5048,Android,4.2
2166,6448,,
2167,6449,,
2168,5964,,
2169,5089,,
2170,5078,Android,4.0
2171,5032,Android,4.0
2172,5025,Android,4.0.4
2173,5325,Android,4.0.4
2174,4950,Android,4.0.4
2175,5062,Android,4.0
2176,4751,Android,4.0
2177,4941,Android,4.1.2
2178,5005,Android,4.0.4
2179,4982,Android,4.0.4
2180,4981,Android,4.0.4
2181,4964,Android,4.0.3
2182,4955,Android,4.0.4
2183,4948,Android,4.0
2184,4932,Android,4.0.4
2185,4835,Android,2.3.6
2186,4833,,
2187,4984,,
2188,4779,,
2189,4749,Android,2.3.7
2190,4702,,
2191,4739,Android,4.0
2192,4717,Android,2.3.6
2193,4712,,
2194,4653,Android,2.3.6
2195,4649,Android,2.3
2196,4563,Android,4.0
2197,4562,Android,2.3
2198,4545,Android,2.3
2199,4565,Android,4.0.3
2200,4571,Android,4.0
2201,4554,Android,2.3.5
2202,4555,Android,2.3
2203,4461,Android,2.3.6
2204,4446,Android,3.2
2205,4625,,
2206,4430,Android,2.3.5
2207,4416,Android,2.3
2208,4377,Android,2.3
2209,4392,,
2210,4064,Android,2.3.7
2211,4329,Android,2.3.5
2212,4353,Android,2.3
2213,4402,Android,2.3
2214,4351,,
2215,4257,Android,2.3
2216,4352,Android,2.3
2217,4253,,
2218,4221,Microsoft Windows Phone,7.5
2219,4286,Android,2.3
2220,4213,Android,2.3.5
2221,4188,Android,2.3.5
2222,4201,Android,2.3.4
2223,4140,Android,2.3.4
2224,4157,Android,2.3.4
2225,4067,Android,2.3.4
2226,4309,Android,2.3.4
2227,4043,Android,2.3.3
2228,4289,Android,2.3.4
2229,4287,Android,2.3
2230,4037,Android,2.2
2231,4040,Android,2.3.3
2232,4090,,
2233,4258,,
2234,4610,,
2235,4561,,
2236,4942,,
2237,4470,,
2238,4048,,
2239,4094,,
2240,4092,,
2241,4248,,
2242,4326,,
2243,4259,,
2244,4089,,
2245,3994,,
2246,4211,,
2247,4658,,
2248,4635,,
2249,3952,,
2250,3937,Android,2.2
2251,4074,,
2252,4033,Android,2.2
2253,3924,Android,2.2
2254,3918,Android,2.2
2255,3886,Android,2.2
